date,close
2021-10-18,13453.5
2021-10-19,13879
2021-10-20,13850
2021-10-21,14013.5
2021-10-22,14261
2021-10-25,14070
2021-10-26,13662
2021-10-27,14149.5
2021-10-28,14090
2021-10-29,13985.5
2021-11-01,14150
2021-11-02,14090.5
2021-11-03,14066.5
2021-11-05,14498.5
2021-11-08,14858
2021-11-09,14800
2021-11-10,15117
2021-11-11,15785
2021-11-12,15972
2021-11-15,15750
2021-11-16,15776.5
2021-11-17,15780
2021-11-18,15804.5
2021-11-19,15798.5
2021-11-22,14904
2021-11-23,14751
2021-11-24,14280.5
2021-11-25,14372
2021-11-26,14194.5
2021-11-29,13977
2021-11-30,14170
2021-12-01,13960
2021-12-02,13776
2021-12-03,13975.5
2021-12-06,13738
2021-12-07,13719
2021-12-08,13555
2021-12-09,13150.5
2021-12-10,12943
2021-12-13,12618
2021-12-14,12393.5
2021-12-15,12545.5
2021-12-16,12850
2021-12-17,13482.5
2021-12-20,13232
2021-12-21,13004.5
2021-12-22,13026
2021-12-23,12925.5
2021-12-24,13010
2021-12-27,13046
2021-12-28,12960.5
2021-12-29,12793
2021-12-30,13087
2022-01-03,12964.5
2022-01-04,12996
2022-01-05,12551.5
2022-01-06,12315
2022-01-10,12251.5
2022-01-11,12381
2022-01-12,12386
2022-01-13,12233
2022-01-14,11929
2022-01-17,11607
2022-01-18,11439
2022-01-19,11949.5
2022-01-20,11930
2022-01-21,12310
2022-01-24,12274
2022-01-25,12109
2022-01-26,11900
2022-01-27,11797.5
2022-01-28,11809.5
2022-01-31,12230
2022-02-01,12211.5
2022-02-02,12320
2022-02-03,12210
2022-02-04,12118.5
2022-02-07,12076
2022-02-08,12050
2022-02-09,12216.5
2022-02-10,12302
2022-02-11,12284.5
2022-02-14,12799
2022-02-15,12590.5
2022-02-16,12910.5
2022-02-17,13340.5
2022-02-18,12894
2022-02-21,12320
2022-02-22,13014
2022-02-24,9810
2022-02-25,10633
2022-03-24,12300
2022-03-25,12200
2022-03-28,11985
2022-03-29,10982.5
2022-03-30,12074
2022-03-31,12727
2022-04-01,12500
2022-04-04,12950.5
2022-04-05,13512
2022-04-06,13450
2022-04-07,13975
2022-04-08,13636
2022-04-11,14375.5
2022-04-12,14392.5
2022-04-13,14051
2022-04-14,13365
2022-04-15,13900
2022-04-18,13700
2022-04-19,13650
2022-04-20,13848
2022-04-21,13642
2022-04-22,13400
2022-04-25,12789
